שם השכונה,מספר מקלט,כתובת,שטח,סוג,נגישות,מס' נפשות,שייכות,קואורדינטות ציר x,קורדינטות ציר y,כתובות למפה,מינהל,שכונה,קטגוריה,יום עברי,חודש עברי,שנה עברית,קרדיט
בקעה,​מקלט ציבורי מספר 980,​רבקה 22,100,מקלט,,80,"עיריית ירושלים, אגף חירום וביטחון",31.7551778,35.21700545,"​רבקה 22, ירושלים",,,"בקעה, מקלט ציבורי",,,,
קטמון,מקלט ציבורי מספר 981,אלמליח אברהם 27,50,מקלט,,40,"עיריית ירושלים, אגף חברה - צופים",31.75434157,35.1920082,"אברהם אלמליח 27, ירושלים",,,"גוננים - קטמונים, מקלט ציבורי",,,,
קריית היובל,מקלט ציבורי מספר 983 - מקלט נגיש,גורדון 10,100,מקלט,מקלט נגיש,80,"""תנועת הנוער ""עזרא",31.76657686,35.17703862,"א.ד. גורדון 10, ירושלים",,,"קריית יובל, מקלט נגיש, מקלט ציבורי",,,,
בקעה,​מקלט ציבורי מספר 984,​יעל 11,160,מקלט,,128,"עיריית ירושלים, אגף תרבות, בית יעל",31.76190746,35.2212796,"​​​​​יעל 11, ירושלים",,,"בקעה, מקלט ציבורי",,,,
מרכז העיר,מקלט ציבורי מספר 985,שטראוס 13,50,מקלט,,40,"עמותת ""חלק ממני ברכה וחסד""-סיוע לנזקקים",31.78547133,35.21869972,"נתן שטראוס 13, ירושלים",,,"מרכז העיר, מקלט ציבורי",,,,
קטמון,מקלט ציבורי מספר 987 - מקלט נגיש,יוחנן בן זכאי 38,100,מקלט,מקלט נגיש,80,"""בית כנסת ""אוהל משה",31.75922677,35.2089806,"יוחנן בן זכאי 38, ירושלים",,,"גוננים - קטמונים, מקלט ציבורי, מקלט נגיש",,,,
קרית יובל,מקלט ציבורי מספר 991,אברהם שרון 2,100,מקלט,,80,עמותת מתחזקים לבורא עולם,31.764072268494978,35.17290601480339,"אברהם שרון 2, ירושלים",יובלים,קרית היובל - 568,"קריית יובל, מקלט ציבורי",,,,
קריית היובל,מקלט ציבורי מספר 992,אטינגר 19,100,מקלט,,80,"עיריית ירושלים, אגף חירום וביטחון",31.76325667,35.1774812,"מעלות יצחק צבי אטינגר 19, ירושלים",,,"קריית יובל, מקלט ציבורי",,,,
קריית היובל,מקלט ציבורי מספר 993,קליינמן 3,100,מקלט,,80,"עיריית ירושלים, אגף תרבות, תיאטרון משומשו",31.76409128,35.1746754,"משה קליינמן 3, ירושלים",,,"קריית יובל, מקלט ציבורי",,,,
בקעה,מקלט ציבורי מספר ​995,​לוי 3,100,מקלט,,80,מינהל קהילתי בקעה,31.75755932,35.220897,"לוי 3, ירושלים",,,"בקעה, מקלט ציבורי",,,,
הגבעה הצרפתית,מקלט ציבורי מספר 998,אבא ברדיצב 6,100,מקלט,,80,"עיריית ירושלים, אגף חירום וביטחון",31.80571068,35.24163187,"אבא ברדיצ'ב 6, ירושלים",,,"הגבעה הצרפתית, מקלט ציבורי",,,,
